y,u,v
123.80052185058594,115.42941284179688,149.02685546875
123.25110626220703,115.39525604248047,149.0454559326172
123.27409362792969,115.41216278076172,149.05831909179688
123.18315124511719,115.4323501586914,149.0669403076172
123.18769836425781,115.44520568847656,149.06382751464844
123.09286499023438,115.49443817138672,149.2049102783203
123.18106842041016,115.38822174072266,149.20394897460938
123.29318237304688,115.36174011230469,149.24436950683594
123.45865631103516,115.42354583740234,149.27978515625
123.53217315673828,115.41997528076172,149.2860107421875
123.51981353759766,115.41065216064453,149.2825927734375
123.54578399658203,115.46224212646484,149.2799072265625
123.30908203125,115.47335815429688,149.24488830566406
123.44197845458984,115.49766540527344,149.3218536376953
123.27271270751953,115.54774475097656,149.30685424804688
123.61129760742188,115.52173614501953,149.33323669433594
123.41680145263672,115.56193542480469,149.3907470703125
123.46189880371094,115.57889556884766,149.37135314941406
124.1644515991211,115.5260238647461,149.3930206298828
124.49280548095703,115.43226623535156,149.37612915039062
124.579345703125,115.43168640136719,149.36190795898438
124.81893157958984,115.38844299316406,149.36117553710938
124.84814453125,115.38610076904297,149.36326599121094
124.90159606933594,115.36677551269531,149.3682861328125
124.63516998291016,115.36978912353516,149.3583526611328
124.6421890258789,115.34842681884766,149.35951232910156
124.64627838134766,115.35736083984375,149.3544158935547
124.44464874267578,115.36524200439453,149.35433959960938
123.47974395751953,115.38622283935547,149.3360137939453
123.27490997314453,115.39256286621094,149.30270385742188
123.2788314819336,115.38243103027344,149.30319213867188
123.18580627441406,115.3700180053711,149.29129028320312
123.25419616699219,115.38065338134766,149.30047607421875
123.1849136352539,115.37773132324219,149.30502319335938
123.24283599853516,115.38451385498047,149.2977294921875
123.13209533691406,115.38654327392578,149.2747344970703
123.173828125,115.39299011230469,149.2574005126953
123.14656829833984,115.36064147949219,149.26976013183594
123.98674774169922,115.37525177001953,149.27542114257812
124.19584655761719,115.3516845703125,149.2733917236328
124.22490692138672,115.35374450683594,149.25885009765625
124.24017333984375,115.33885192871094,149.25497436523438
124.41978454589844,115.33285522460938,149.25474548339844
124.65459442138672,115.29046630859375,149.25372314453125
124.70826721191406,115.28816223144531,149.29994201660156
124.6724624633789,115.26298522949219,149.3021697998047
124.6552963256836,115.27542877197266,149.310302734375
124.72055053710938,115.27674865722656,149.31031799316406
124.75688171386719,115.28739929199219,149.3273162841797
124.74443054199219,115.29985809326172,149.3284912109375
124.74525451660156,115.29883575439453,149.2947998046875
124.730712890625,115.27082824707031,149.28282165527344
124.69025421142578,115.25318145751953,149.2847137451172
124.64231872558594,115.248046875,149.2849884033203
124.64551544189453,115.23040771484375,149.2825164794922
124.615234375,115.20853424072266,149.27516174316406
124.60995483398438,115.1903076171875,149.26087951660156
124.62123107910156,115.1692123413086,149.28863525390625
124.59778594970703,115.16403198242188,149.29408264160156
124.60550689697266,115.15623474121094,149.27786254882812
124.58953857421875,115.18348693847656,149.26956176757812
124.54052734375,115.17869567871094,149.24732971191406
124.61265563964844,115.18131256103516,149.25357055664062
124.57313537597656,115.1947250366211,149.25933837890625
124.57682037353516,115.18541717529297,149.25601196289062
124.60357666015625,115.19034576416016,149.26004028320312
124.6462631225586,115.19609069824219,149.2675018310547
124.67977142333984,115.21887969970703,149.26824951171875
124.63957214355469,115.22748565673828,149.26171875
124.6244888305664,115.23286437988281,149.2725067138672
124.63007354736328,115.24310302734375,149.26988220214844
124.64431762695312,115.23503112792969,149.2676239013672
124.62220764160156,115.24571990966797,149.25323486328125
124.38841247558594,115.2435073852539,149.25608825683594
123.43617248535156,115.27070617675781,149.25631713867188
123.18849182128906,115.291259765625,149.2859344482422
123.07353973388672,115.29586029052734,149.2943572998047
122.95166015625,115.30349731445312,149.294189453125
122.92918395996094,115.30329132080078,149.29759216308594
122.9043960571289,115.2950439453125,149.2777862548828
122.93634796142578,115.2942123413086,149.279541015625
122.90240478515625,115.29708099365234,149.25619506835938
